Emotion,XSmall,XMediumMinus,XMedium,XMediumPlus,XLarge
Emo_1,0.205837712835,0.994847176212,1.06833917563,1.14283050562,1.63244649743
Emo_2,0.214041218559,0.860945136943,0.93694809762,1.00865080367,1.52033415278
Emo_3,0.138047629649,0.906096192475,1.02865319055,1.12966063859,1.76464998882
Emo_4,0.134321441953,1.05686352186,1.16537669778,1.24236820865,1.67192317657
Emo_5,0.126496318897,0.923435641907,1.03349425825,1.13509084853,1.70550664681
Emo_6,0.184319382107,1.43409339922,1.57949809558,1.73496837739,2.12213059093
Emo_7,0.167810875431,0.930970083654,1.04121792948,1.13692253443,1.69276848232
Emo_8,0.194155916534,0.99242179711,1.09531193408,1.20050279642,1.52697622861
Emo_9,0.179000605249,0.905783637574,0.989317938943,1.07850181236,1.600199615
Emo_10,0.127192232226,1.0370031452,1.1482383782,1.25215144342,1.5896074217
Emo_11,0.141780734958,0.884307468876,0.992301805469,1.08871026818,1.67713525279
Emo_12,0.122618567851,1.33572956234,1.452636154,1.55976333979,2.09400426357
Emo_13,0.147478577426,0.946973123568,1.0604868927,1.15412987201,1.64730474817
Emo_14,0.121638607424,1.04765135656,1.15755446032,1.27945847736,1.68640032929
Emo_15,0.137348677912,1.12720049329,1.24311290712,1.34330122524,1.96936844462
Emo_16,0.148453314082,1.07702112602,1.17646498872,1.26838667551,1.67621799371
Emo_17,0.133953088421,1.36275815889,1.49761553645,1.63947576013,1.98472191875
Emo_18,0.160282020957,0.912161595946,1.02798782476,1.13486546708,1.73396676742
Emo_19,0.115426660367,0.932719990768,1.06609063331,1.16918429998,1.78400084618
Emo_20,0.158009025211,0.924549559349,1.04355285534,1.14591154317,1.73551710522
Emo_21,0.151729999764,0.954292256205,1.05670144892,1.14967695998,1.76193871125
Emo_22,0.151972280428,1.16157460794,1.29819703078,1.40930563617,1.81941962071
